"iso3","country_name","disaggregation","category","subject","grade","is_africa","income_level","income_level_code","Region_Code","Region","n_unweighted","pct_weighted","n_weighted","pct_unweighted","pct_weighted_loess_span1"
"AFG","Afghanistan","Area","Urban","numeracy",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",163,44.6234861137544,163,40.4907975460123,39.0310425616868
"AFG","Afghanistan","Area","Urban","numeracy",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",149,38.2644723268264,147,39.4557823129252,50.9966237003442
"AFG","Afghanistan","Area","Urban","numeracy",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",120,73.2173298543633,119,64.7058823529412,61.1087421160788
"AFG","Afghanistan","Area","Urban","numeracy",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",85,68.0654192605428,85,71.7647058823529,69.3542178794467
"AFG","Afghanistan","Area","Urban","numeracy",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",7,74.0930302981722,7,57.1428571428571,75.385003776082
"AFG","Afghanistan","Area","Urban","reading",1,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",165,2.9876905401945,165,1.81818181818182,4.93296487628084
"AFG","Afghanistan","Area","Urban","reading",2,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",190,18.2802939109849,190,14.7368421052632,13.2541649311467
"AFG","Afghanistan","Area","Urban","reading",3,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",165,18.3265905098573,165,16.3636363636364,22.9757078281847
"AFG","Afghanistan","Area","Urban","reading",4,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",163,39.4104352348065,163,39.2638036809816,33.886792261729
"AFG","Afghanistan","Area","Urban","reading",5,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",149,38.6904082550095,149,42.9530201342282,51.2900683663327
"AFG","Afghanistan","Area","Urban","reading",6,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",120,72.2676675488106,120,67.5,59.8071957777214
"AFG","Afghanistan","Area","Urban","reading",7,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",85,68.4050057236269,85,65.8823529411765,55.9177287440361
"AFG","Afghanistan","Area","Urban","reading",8,FALSE,"Low income","LIC","UNICEF_ROSA","South Asia",7,31.2131287280338,7,42.8571428571429,39.856426959866
"AZE","Azerbaijan","All","All","numeracy",1,FALSE,"Upper middle income","UMC","UNICEF_ECARO","Europe and Central Asia",178,45.3107916623712,178,31.4606741573034,45.5687274027488
